oxy,D_Rc,Ta,area,speed,e,angle,saturation,cell_img,Ca,sat_norm,D
0,0.005844563,0.035174047,71.2264,0.003724,1.465082901,33.69006348,-0.030839328,"[[51 51 54 ... 51 51 50]
 [55 50 50 ... 50 50 52]
 [53 50 51 ... 52 48 47]
 ...
 [53 58 53 ... 51 53 52]
 [50 49 52 ... 50 50 50]
 [49 47 52 ... 50 48 55]]",2.14e-05,0.018373287,0.0004938344069053048
0,0.031133533,0.116945198,58.1091,0.004810909,1.323316651,90.0,-0.058457986,"[[83 92 84 ... 89 92 86]
 [85 82 83 ... 85 89 87]
 [93 84 90 ... 81 81 81]
 ...
 [75 85 84 ... 84 83 84]
 [87 91 92 ... 88 87 86]
 [85 89 87 ... 86 84 85]]",2.77e-05,-0.014232182,0.002012510914813687
0,0.023024968,0.033691684,52.675,0.005502,1.259922915,6.403887033,-0.038515515,"[[51 53 50 ... 51 55 51]
 [51 50 54 ... 50 53 48]
 [54 53 51 ... 55 52 51]
 ...
 [50 55 50 ... 53 52 54]
 [51 59 50 ... 51 53 48]
 [52 55 51 ... 53 51 50]]",3.16e-05,0.009311092,0.0006396143141907926
0,0.000448392,0.013009015,62.9748,0.00378,1.377606239,90.0,-0.049376861,"[[89 87 80 ... 86 81 79]
 [83 91 87 ... 89 92 82]
 [88 85 87 ... 88 87 86]
 ...
 [85 84 92 ... 89 87 86]
 [84 92 88 ... 79 90 83]
 [92 87 90 ... 95 85 85]]",2.17e-05,-0.003511373,0.00020657493155992556
0,0.073256759,0.306459429,43.0612,0.004865,1.139160105,26.56505013,-0.106220652,"[[52 52 51 ... 53 47 52]
 [55 52 52 ... 52 57 54]
 [53 50 55 ... 50 49 52]
 ...
 [53 56 45 ... 55 48 50]
 [53 53 48 ... 56 57 56]
 [53 50 50 ... 54 51 50]]",2.8e-05,-0.070618854,0.007116834389194913
0,0.152777471,0.366699654,49.5194,0.004747273,1.221601028,63.43495178,-0.086123903,"[[52 55 57 ... 55 55 55]
 [58 57 53 ... 49 56 50]
 [51 53 54 ... 53 48 55]
 ...
 [45 52 51 ... 54 52 55]
 [50 53 56 ... 50 51 50]
 [51 50 52 ... 51 50 45]]",2.73e-05,-0.046893445,0.00740517158931651
0,0.015374878,0.035258117,57.6436,0.00462,1.318005585,59.19279099,-0.071539675,"[[89 87 86 ... 88 77 85]
 [82 90 79 ... 83 89 84]
 [93 81 87 ... 83 87 91]
 ...
 [88 87 83 ... 94 91 80]
 [92 90 88 ... 79 84 83]
 [80 81 87 ... 87 82 82]]",2.66e-05,-0.029675895,0.0006116570963645573
0,0.007405998,0.048724206,68.992,0.003584,1.441919683,63.43495178,-0.050299279,"[[54 48 54 ... 53 56 56]
 [55 49 52 ... 51 54 54]
 [56 56 53 ... 51 51 56]
 ...
 [51 53 51 ... 51 55 48]
 [56 53 54 ... 51 51 55]
 [51 54 49 ... 53 55 56]]",2.06e-05,-0.004600343,0.0007062297947588125
0,0.01133445,0.104701912,43.0416,0.003675,1.138900822,88.89870071,-0.007924034,"[[55 51 53 ... 51 54 57]
 [54 53 60 ... 55 55 58]
 [53 54 53 ... 53 45 54]
 ...
 [54 50 55 ... 57 56 47]
 [52 56 52 ... 54 56 48]
 [51 52 50 ... 46 54 50]]",2.11e-05,0.045426157,0.002432574811345303
0,0.001002383,0.045343027,63.4109,0.002465217,1.382367966,44.24601936,-0.021316926,"[[88 84 85 ... 87 73 86]
 [89 85 77 ... 86 85 88]
 [94 84 81 ... 82 81 85]
 ...
 [87 90 84 ... 86 83 90]
 [84 87 89 ... 83 87 73]
 [91 88 91 ... 75 83 87]]",1.42e-05,0.029615051,0.0007150667629697734
0,0.011560583,0.021682084,47.9759,0.002131111,1.202411906,90.0,0.082942873,"[[58 52 55 ... 53 53 54]
 [59 54 49 ... 50 53 49]
 [51 50 46 ... 53 52 51]
 ...
 [53 44 44 ... 54 50 48]
 [48 51 56 ... 55 56 51]
 [53 54 50 ... 52 53 55]]",1.23e-05,0.15269995,0.0004519369933654189
0,0.013825877,0.051176474,66.6302,0.00375,1.41702418,66.03751373,-0.073532293,"[[89 93 93 ... 87 92 79]
 [88 88 83 ... 86 87 83]
 [89 86 90 ... 85 93 85]
 ...
 [89 88 77 ... 89 87 87]
 [87 86 88 ... 83 81 83]
 [85 94 86 ... 89 87 81]]",2.16e-05,-0.0320283,0.0007680672427818016
0,0.003963596,0.050012616,44.2176,0.00343,1.154354728,90.0,-0.023542317,"[[54 57 56 ... 52 56 53]
 [51 54 42 ... 48 49 52]
 [58 54 54 ... 47 51 50]
 ...
 [55 52 54 ... 54 48 52]
 [54 54 50 ... 56 52 52]
 [52 49 54 ... 50 51 51]]",1.97e-05,0.026987844,0.0011310567737733393
0,0.09479601,0.295649412,54.1695,0.004950909,1.277671231,40.60129547,-0.084037897,"[[55 48 56 ... 52 52 53]
 [54 55 54 ... 53 55 49]
 [58 50 51 ... 55 49 56]
 ...
 [51 52 50 ... 53 54 51]
 [55 47 45 ... 49 55 46]
 [52 51 58 ... 55 50 51]]",2.85e-05,-0.04443079,0.0054578575028383135
0,0.011458987,0.041003511,50.0192,0.00385,1.227750369,23.38521957,-0.072645842,"[[51 55 49 ... 48 50 53]
 [51 56 54 ... 53 50 55]
 [56 59 52 ... 52 54 51]
 ...
 [49 54 52 ... 51 47 51]
 [49 57 51 ... 52 56 51]
 [53 52 53 ... 54 52 50]]",2.21e-05,-0.030981792,0.0008197554339133773
